Date,Time,Bucket Empty,Model,Serial No.,Volume Emptied (pts),Run (Guest AH),Run (Out Temp),AH (In) - AH (Out) [G],Temp (In) [G],Temp (Out) [G],Temp (Epan) [G],Temp (Guest) [G],Temp (Front) [G],AH (Guest) [G],AH (Front) [G],AH (EPan) [G],Temp (WxStn) [G],AH (WxStn) [G],AH (In) - AH (Out) [O],Temp (In)  [O],Temp (Out)  [O],Temp (Epan)  [O],Temp (Guest)  [O],Temp (Front)  [O],AH (Guest)  [O],AH (Front) [O],AH (EPan) [O],Temp (WxStn) [O],AH (WxStn) [O]
7/12/2020,19:14:00,2020-07-12 19:14:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2020,12:32:00,2020-07-14 12:32:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2020,7:32:00,2020-07-15 07:32:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2020,21:56:00,2020-07-17 21:56:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/19/2020,9:26:00,2020-07-19 09:26:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2020,17:03:00,2020-07-22 17:03:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2020,15:18:00,2020-07-24 15:18:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2020,9:04:00,2020-07-26 09:04:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/29/2020,14:05:00,2020-07-29 14:05:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7/31/2020,16:33:00,2020-07-31 16:33:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2020,6:50:00,2020-08-02 06:50:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2020,9:54:00,2020-08-04 09:54:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2020,22:56:00,2020-08-06 22:56:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2020,15:36:00,2020-08-08 15:36:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2020,22:00:00,2020-08-10 22:00:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2020,18:16:00,2020-08-12 18:16:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2020,8:41:00,2020-08-14 08:41:00,FAD704DWD,unknown,16.4,,,,,,,,,,,,,,,,,,,,,,,,
